Id;Nom;Type;Texte;Action gratuite;Couleur scan;Revenu;Cout;Gain;Contrainte
14;Mars Science Laboratory;Fin de jeu;Gagnez 1 Média et 2 Données. Fin de jeu: Gagnez 4 PVs pour chacun de vos Orbiteurs et Atterrisseurs sur Mars (lunes comprises).;1 Déplacement;Rouge;1 Crédit;2 Crédits;1 Média + 2 Données;SCORE_PER_ORBITER_LANDER:mars:4
15;Rentrée Atmosphérique;Action;Retirez l'un de vos orbiteurs de n'importe quelle planète pour gagner 3 PVs, 1 Donnée, 1 Carte.;1 Déplacement;Bleu;1 Crédit;1 Crédit;;ATMOSPHERIC_ENTRY
16;Dragonfly;Action;Gagnez 1 Atterrissage. Vous pouvez poser une sonde sur une case déjà occupée, et tout de même gagner la récompense recouverte.;1 Déplacement;Bleu;1 Crédit;1 Crédit;1 Atterrissage;
17;OSIRIS-REx;Action;Choisissez 1 de vos sondes. Gagnez 2 Données si elle est placée sur un champ d'astéroïdes et 1 Donnée pour chaque champ d'astéroïdes adjacent.;1 Déplacement;Jaune;1 Energie;1 Crédit;;OSIRIS_REX_BONUS
18;Hayabusa;Action;Si vous avez une sonde sur un champ d'astéroïdes, marquez 1 Trace de Vie Jaune.;1 Déplacement;Noir;1 Pioche;1 Crédit;;GAIN_LIFETRACE_IF_ASTEROID:yellow:1
19;Assistance Gravitationnelle;Action;Gagnez 2 Déplacements. Chaque fois que vous visitez une planète ce tour-ci, vous pouvez gagner 1 Déplacement au lieu de 1 Média.;1 Média;Jaune;1 Crédit;Crédit;2 Déplacements;CHOICE_MEDIA_OR_MOVE
20;Survol de Mercure;Action;Gagnez 2 Déplacements. Si vous visitez Mercure ce tour-ci, gagnez 4 PVs.;1 Média;Rouge;1 Energie;1 Crédit;2 Déplacements;VISIT_PLANET:mercury:4
21;Survol de Vénus;Action;Gagnez 2 Déplacements. Si vous visitez Vénus ce tour-ci, gagnez 3 PVs.;1 Média;Jaune;1 Crédit;1 Crédit;2 Déplacements;VISIT_PLANET:venus:3
22;Survol de Mars;Action;Gagnez 2 Déplacements. Si vous visitez Mars ce tour-ci, gagnez 4 PVs.;1 Donnée;Jaune;1 Energie;1 Crédit;2 Déplacements;VISIT_PLANET:mars:4
23;Survol de Jupiter;Action;Gagnez 2 Déplacements. Si vous visitez Jupiter ce tour-ci, gagnez 4 PVs.;1 Média;Bleu;1 Energie;1 Crédit;2 Déplacements;VISIT_PLANET:jupiter:4
24;Survol de Saturne;Action;Gagnez 3 Déplacements. Si vous visitez Saturne ce tour-ci, gagnez 6 PVs.;1 Donnée;Rouge;1 Pioche;2 Crédit;3 Déplacements;VISIT_PLANET:saturn:6
25;Voile Solaire;Action;Gagnez 4 Déplacements. Gagnez 1 PV pour chaque planète unique que vous visitez ce tour-ci (y compris la Terre).;1 Média;Rouge;1 Crédit;2 Crédits;4 Déplacements;VISIT_UNIQUE:1
26;A Travers la Ceinture d'Astéroïdes;Action;Gagnez 2 déplacements. Ignorez les restrictions de déplacement lorsque vous quittez un champ d'astéroïdes ce tour-ci.;1 Donnée;Bleu;1 Pioche;1 Crédit;2 Déplacements;ASTEROID_EXIT_COST:1
27;Télescope Spatial Huble;Action;Gagnez 1 Déplacement. Puis, gagnez 1 Signal dans un secteur où se trouve l'une de vos sondes.;1 Média;Rouge;1 Pioche;1 Crédit;1 Déplacement + 1 Signal Sonde;
28;Télescope Spatial Kepler;Action;Gagnez 1 Déplacement. Puis, gagnez 2 Signaux dans un secteur où se trouve l'une de vos sondes.;1 Média;Bleu;1 Crédit;2 Crédits;1 Déplacement + 2 Signaux Sonde;
29;Télescope Spatial James Webb;Action;Gagnez 1 Déplacement. Puis, gagnez 1 Signal dans un secteur où se trouve l'une de vos sondes et dans les deux secteurs adjacents.;1 Média;Jaune;1 Energie;2 Crédits;1 Déplacement + 1 Signal Sonde;GAIN_SIGNAL_ADJACENTS
30;Programme des Grands Observatoires;Action;Choisissez jusqu'à 3 sondes (les vôtres et/ou celles d'autres joueurs). Pour chaque sonde, marquez un Signal dans son secteur.;1 Déplacement;Jaune;1 Pioche;2 Crédits;3 Signaux Sonde;ANY_PROBE
31;Space Launch System;Mission déclenchable;Gagnez 1 Sonde et 1 Déplacement. Mission: Gagnez 1 Crédit si vous avez 3 atterisseurs (hors lunes).;1 Donnée;Jaune;1 Pioche;2 Crédits;1 Sonde + 1 Déplacement;GAIN_IF_3_LANDERS:credit:1
32;Programme d'Exploration de Mercure;Mission déclenchable;Gagnez 2 Signaux dans le secteur de Mercure. Mission: Gagnez 4 PV si vous avez un orbiteur/atterrisseur sur Mercure.;1 Média;Jaune;1 Crédit;2 Crédits;2 Signaux Mercure;GAIN_IF_ORBITER_OR_LANDER:mercury:pv:4
33;Programme d'Exploration de Vénus;Mission déclenchable;Gagnez 2 Signaux dans le secteur de Vénus. Mission: Gagnez 4 PV si vous avez un orbiteur/atterrisseur sur Vénus.;1 Déplacement;Rouge;1 Energie;2 Crédits;2 Signaux Vénus;GAIN_IF_ORBITER_OR_LANDER:venus:pv:4
34;Programme d'Exploration de Mars;Mission déclenchable;Gagnez 2 Signaux dans le secteur de Mars. Mission: Gagnez 4 PV si vous avez un orbiteur/atterrisseur (lunes comprises) sur Mars.;1 Déplacement;Bleu;1 Pioche;2 Crédits;2 Signaux Mars;GAIN_IF_ORBITER_OR_LANDER:mars:pv:4
35;Programme d'Exploration de Jupiter;Mission déclenchable;Gagnez 2 Signaux dans le secteur de Jupiter. Mission: Gagnez 4 PV si vous avez un orbiteur/atterrisseur (lunes comprises) sur Jupiter.;1 Média;Bleu;1 Crédit;2 Crédits;2 Signaux Jupiter;GAIN_IF_ORBITER_OR_LANDER:jupiter:pv:4
36;Programme d'Exploration de Saturne;Mission déclenchable;Gagnez 2 Signaux dans le secteur de Saturne. Mission: Gagnez 4 PV si vous avez un orbiteur/atterrisseur (lunes comprises) sur Saturne.;1 Média;Bleu;1 Pioche;2 Crédits;2 Signaux Saturne;GAIN_IF_ORBITER_OR_LANDER:saturn:pv:4
37;Observation de Proxima du Centaure;Mission déclenchable;Gagnez 2 Signaux dans le secteur de Proxima du Centaure. Mission: Gagnez 4 PV et 1 Média si vous avez couvert 2 secteurs Rouge.;1 Déplacement;Jaune;1 Crédit;2 Crédits;2 Signaux Proxima;GAIN_IF_COVERED:red:pv:4:media:1
38;Observatoire de l'Etoile de Barnard;Fin de jeu;Gagnez 2 Signaux dans le secteur de l'Etoile de Barnard. Fin de jeu: Gagnez 3 PVs pour chaque secteur Rouge que vous avez couvert.;1 Média;Bleu;1 Energie;2 Crédits;2 Signaux Etoile de Barnard;SCORE_PER_COVERED_SECTOR:red:3
39;Observation de 61 Virginis;Mission déclenchable;Gagnez 2 Signaux dans le secteur de 61 Virginis. Mission: Gagnez 4 PV et 1 Média si vous avez couvert 2 secteurs Jaune.;1 Déplacement;Bleu;1 Pioche;2 Crédits;2 Signaux Virginis;GAIN_IF_COVERED:yellow:pv:4:media:1
40;Observatoire de Kepler-22;Fin de jeu;Gagnez 2 Signaux dans le secteur de Kepler-22. Fin de jeu: Gagnez 3PVs pour chaque secteur Jaune que vous avez couvert.;1 Média;Rouge;1 Crédit;2 Crédits;2 Signaux Kepler-22;SCORE_PER_COVERED_SECTOR:yellow:3
41;Observation de Sirius A;Mission déclenchable;Gagnez 2 Signaux dans le secteur de Sirius A. Mission: Gagnez 4 PV et 1 Média si vous avez couvert 2 secteurs Bleu.;1 Déplacement;Rouge;1 Energie;2 Crédits;2 Signaux Sirius;GAIN_IF_COVERED:blue:pv:4:media:1
42;Observatoire de Procyon;Fin de jeu;Gagnez 2 Signaux dans le secteur de Procyon. Fin de jeu: Gagnez 3 PVs pour chaque secteur Bleu que vous avez couvert.;1 Média;Jaune;1 Pioche;2 Crédits;2 Signaux Procyon;SCORE_PER_COVERED_SECTOR:blue:3
43;Observation de Beta Pictoris;Mission déclenchable;Gagnez 2 Signaux dans le secteur de Beta Pictoris. Mission: Gagnez 4 PV et 1 Média si vous avez couvert un secteur Noir.;1 Déplacement;Bleu;1 Energie;1 Crédit;1 Signal Pictoris;GAIN_IF_COVERED:black:pv:2:media:1
44;Observatoire de Vega;Fin de jeu;Gagnez 1 Signal dans le secteur de Véga. Fin de jeu: Gagnez 3 PVs pour chaque secteur Noir que vous avez couvert.;1 Média;Rouge;1 Crédit;1 Crédit;1 Signal Véga;SCORE_PER_COVERED_SECTOR:black:3
45;Allen Telescope Array;Action;Gagnez 2 Signaux dans un secteur d'une carte de la rangée. Si vous remplissez au moins un secteur ce tour-ci, gagnez 1 Energie.;1 Média;Rouge;1 Pioche;2 Crédits;2 Signaux Rangée;BONUS_IF_COVERED:energy:1
46;Observatoire ALMA;Action;Gagnez 2 Signaux dans un secteur d'une carte de la rangée. Si vous remplissez au moins un secteur ce tour-ci, gagnez 1 Pioche.;1 Déplacement;Jaune;1 Crédit;2 Crédits;2 Signaux Rangée;BONUS_IF_COVERED:draw:1
47;Very Large Array;Action;Gagnez 2 Signaux dans un secteur d'une carte de la rangée. Si vous remplissez au moins un secteur ce tour-ci, gagnez 1 Donnée.;1 Média;Jaune;1 Energie;2 Crédits;2 Signaux Rangée;BONUS_IF_COVERED:data:1
48;Program Breakthrough Starshot;Action;Gagnez 1 Déplacement et 1 Signal dans un secteur Rouge.;1 Média;Bleu;1 Crédit;1 Crédit;1 Déplacement + 1 Signal Rouge;
49;Program Breakthrough Watch;Action;Gagnez 1 Déplacement et 1 Signal dans un secteur Jaune.;1 Média;Rouge;1 Crédit;1 Crédit;1 Déplacement + 1 Signal Jaune;
50;Program Breakthrough Listen;Action;Gagnez 1 Déplacement et 1 Signal dans un secteur Bleu.;1 Média;Jaune;1 Crédit;1 Crédit;1 Déplacement + 1 Signal Bleu;
51;Télescope Lovell;Mission déclenchable;Gagnez 1 Donnée et 1 Scan. Mission: Gagnez 3 PV et 1 Carte si vous avez au moins 8 Média.;1 Déplacement;Rouge;1 Energie;3 Crédits;1 Donnée + 1 Scan;GAIN_IF_8_MEDIA:pv:3:anycard:1
52;Observatoire de Parkes;Action;Gagnez 1 Scan. Gagnez 2 PVs chaque fois que vous marquez un Signal dans un secteur Rouge grâce à cette action.;1 Déplacement;Jaune;1 Pioche;2 Crédits;1 Scan;SCORE_PER_SECTOR:red:2
53;Deep Synoptic Array;Action;Gagnez 1 Scan. Gagnez 2 PVs chaque fois que vous marquez un Signal dans un secteur Jaune grâce à cette action.;1 Déplacement;Bleu;1 Energie;2 Crédits;1 Scan;SCORE_PER_SECTOR:yellow:2
54;Télescope VERITAS;Action;Gagnez 1 Scan. Gagnez 2 PVs chaque fois que vous marquez un Signal dans un secteur Bleu grâce à cette action.;1 Déplacement;Rouge;1 Crédit;2 Crédits;1 Scan;SCORE_PER_SECTOR:blue:2
55;Radiotélescope d'Arecibo;Action;Gagnez 1 Scan. Marquez également 1 Signal dans n'importe quel secteur.;1 Média;Jaune;1 Pioche;3 Crédits;1 Scan + 1 Signal;
57;Radiotélescope D'Effelsberg;Action;Gagnez 1 Carte, 1 Rotation et 1 Technologie Observation.;1 Média;Bleu;1 Energie;3 Crédits;1 Carte + 1 Rotation + 1 Tech Observation;
58;Orbiteur et Sonde d'Uranus;Mission déclenchable;Gagnez 1 Sonde. Mission: Gagnez 3 PV et 1 Pioche si vous avez un orbiteur/atterrisseur (lunes comprises) sur Uranus.;1 Média;Rouge;1 Crédit;2 Crédits;1 Sonde;GAIN_IF_ORBITER_OR_LANDER:uranus:pv:3:card:1
59;Système de Propulsion Ionique;Action;Gagez 1 Energie, 1 Rotation et 1 Technologie Exploration.;1 Média;Rouge;1 Pioche;3 Crédits;1 Energie + 1 Rotation + 1 Tech Exploration;
60;Sonde Trident;Mission déclenchable;Gagnez 1 Sonde. Mission: Gagnez 4 PV et 1 Donnée si vous avez un orbiteur/atterrisseur (lunes comprises) sur Neptune.;1 Média;Bleu;1 Pioche;2 Crédits;1 Sonde;GAIN_IF_ORBITER_OR_LANDER:neptune:pv:4:data:1
61;Ordinateur Quantique;Mission déclenchable;Gagnez 1 Rotation et 1 Tech Informatique. Mission: Gagnez 1 Réservation si vous avez au moins 50 PV.;1 Média;Noir;1 Pioche;3 Crédits;1 Rotation + 1 Tech Informatique;GAIN_IF_50_PV:reservation:1
62;Observatoire Spatial d'Onsala;Fin de jeu;Gagnez 1 Rotation et 1 Technologie Observation. Fin de jeu: Gagnez 2 PVs pour chaque Trace de Vie Rouge.;1 Donnée;Rouge;1 Crédit;3 Crédits;1 Rotation + 1 Tech Observation;SCORE_PER_LIFETRACE:red:2
63;SHERLOC;Fin de jeu;Gagnez 1 Rotation et 1 Technologie Exploration. Fin de jeu: Gagnez 2 PVs pour chaque Trace de Vie Jaune.;1 Déplacement;Bleu;1 Crédit;3 Crédits;1 Rotation + 1 Tech Exploration;SCORE_PER_LIFETRACE:yellow:2
64;ALICE;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Informatique. Mission: Gagnez 2 Données si vous avez acquis 1 Trace de Vie Bleu sur chaque espèce.;1 Déplacement;Bleu;1 Crédit;3 Crédits;1 Rotation + 1 Tech Informatique;GAIN_IF_LIFETRACE_BOTH_SPECIES:blue:data:2
65;Radiotélescope FAST;Action;Gagnez 2 Signaux dans un secteur d'une carte de la rangée, 1 Rotation et 1 Technologie Observation;1 Déplacement;Noir;1 Crédit;4 Crédits;1 Rotation + 1 Tech Observation + 2 Signaux Rangée;
66;GMRT;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Observation. Mission: Gagnez 2 PV et 1 Energie si vous avez acquis 1 Trace de Vie Rouge sur chaque espèce.;1 Média;Jaune;1 Pioche;3 Crédits;1 Rotation + 1 Tech Observation;GAIN_IF_LIFETRACE_BOTH_SPECIES:red:pv:2:energy:1
67;Radiotélescope d'Eupatoria;Action;Gagnez 1 Média, 1 Rotation et 1 Technologie Observation. Puis vous pouvez défausser 1 carte de votre main pour son signal.;1 Déplacement;Bleu;1 Pioche;3 Crédits;1 Média + 1 Rotation + 1 Tech Observation;GAIN_SIGNAL_FROM_HAND:1
68;DUNE;Fin de jeu;Gagnez 1 Rotation et 1 Technologie Informatique. Fin de jeu: Gagnez 2 PVs pour chaque Trace de Vie Bleu.;1 Média;Rouge;1 Crédit;3 Crédits;1 Rotation + 1 Tech Informatique;SCORE_PER_LIFETRACE:blue:2
69;Grand Collisionneur de Hadrons;Action;Gagnez 1 Donnée, 1 Rotation et 1 Technologie Informatique.;1 Déplacement;Noir;1 Energie;3 Crédits;1 Donnée + 1 Rotation + 1 Tech Informatique;
70;ATLAS;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Informatique. Mission: Gagnez 3 PV et 1 Donnée si vous avez acquis 3 Traces de Vie Bleu.;1 Média;Rouge;1 Crédit;3 Crédits;1 Rotation + 1 Tech Informatique;GAIN_IF_3_LIFETRACES:blue:pv:3:data:1
71;Recherche Ciblée;Action;Gagnez 1 Rotation et 1 Technologie de n'importe quelle couleur. Puis gagnez 2 PV pour chaque technologie de ce type que vous possédez.;1 Média;Rouge;1 Crédit;3 Crédits;1 Rotation + 1 Tech;SCORE_PER_TECH_TYPE:2
72;Coopération Scientifique;Action;Gagnez 1 Rotation et 1 Technologie de n'importe quelle couleur. Si vous développez une technologie qu'un autre joueur possède déjà, gagnez 2 Média.;1 Donnée;Bleu;1 Energie;3 Crédits;1 Rotation + 1 Tech;MEDIA_IF_SHARED_TECH:2
73;Initiative Clean Space;Action;Défaussez les 3 cartes de la rangée de cartes pour effectuer leurs actions gratuites.;1 Média;Jaune;1 Crédit;1 Crédit;;DISCARD_ROW_FOR_FREE_ACTIONS
74;Essais de Prélancement;Action;Gagnez 1 Sonde et 1 Déplacement pour chaque carte avec une action gratuite de déplacement que vous révélez de votre main.;1 Média;Jaune;1 Pioche;2 Crédits;1 Sonde;REVEAL_MOVEMENT_CARDS_FOR_BONUS
75;Etude sur les Extrêmophiles;Action;Gagnez 1 Trace de Vie de n'importe quelle couleur. Puis gagnez 1 PV pour chaque Trace de Vie que vous avez marquée de cette couleur.;1 Donnée;Noir;1 Crédit;2 Crédits;1 Trace;GAIN_LIFETRACE:any:1 + SCORE_PER_TRACE:any:1
76;Centre Spatial Kennedy (KSC);Mission conditionnelle;Mission: Gagnez 1 Energie après avoir acquis une Technologie Exploration. Mission: Gagnez 1 Média après avoir acquis une Technologie Observation. Mission: Gagnez 1 Carte après avoir acquis une Technologie Informatique.;1 Déplacement;Bleu;1 Pioche;1 Crédit;;GAIN_ON_TECH:yellow:energy:1 + GAIN_ON_TECH:red:media:1 + GAIN_ON_TECH:blue:anycard:1
77;Institut d'Astrobiologie de la NASA;Mission conditionnelle;Gagnez 1 Média. Mission: Gagnez 1 Donnée après avoir acquis 1 Trace de Vie Rouge. Mission: gagnez 1 Donnée après avoir acquis 1 Trace de Vie Jaune. Mission: Gagnez 1 Donnée après avoir acquis 1 Trace de Vie Bleu.;1 Média;Jaune;1 Pioche;1 Crédit;1 Média;GAIN_ON_LIFETRACE:red:data:1 + GAIN_ON_LIFETRACE:yellow:data:1 + GAIN_ON_LIFETRACE:blue:data:1
78;Institut SETI;Mission conditionnelle;Gagnez 1 Média. Mission: Gagnez 2 Données après avoir effectué l'action Scanner un secteur. Mission: Gagnez 1 Carte après avoir effectué l'action Scanner un secteur. Mission: Gagnez 4 PV après avoir effectué l'action Scanner un secteur.;1 Donnée;Rouge;1 Energie;2 Crédits;1 Média;GAIN_ON_SCAN_data:2 + GAIN_ON_SCAN:anycard:1 + GAIN_ON_SCAN:pv:4
79;ISS;Mission conditionnelle; Gagnez 1 Média.Mission: Gagnez 1 Crédit après avoir effectué l'action Lancer une sonde.Mission: Gagnez 1 Carte après avoir effectué l'action Lancer une sonde. Mission: Gagnez 5 PV après avoir effectué l'action Lancer une sonde.;1 Donnée;Rouge;1 Crédit;2 Crédits;1 Média;GAIN_ON_LAUNCH:credit:1 + GAIN_ON_LAUNCH:anycard:1 + GAIN_ON_LAUNCH:pv:5
80;Base de lancement du KSC;Mission conditionnelle;Mission: Gagnez 1 Déplacement après avoir effectué l'action Lancer une sonde. Mission: Gagnez 1 Déplacemet après avoir effectué l'action Lancer une sonde. Mission: Gagnez 1 Déplacement après avoir effectué l'action Lancer une sonde.;1 Média;Noir;1 Pioche;1 Crédit;;GAIN_ON_LAUNCH:move:1 + GAIN_ON_LAUNCH:move:1 + GAIN_ON_LAUNCH:move:1
81;Collaboration Internationale;Action;Gagnez 1 Technologie de n'importe quelle couleur qu'un autre joueur possède déjà. Ne faites pas pivoter le système solaire. Ne gagner pas le bonus indiqué sur la tuile.;1 Déplacement;Jaune;1 Pioche;2 Crédits;1 Tech;SHARED_TECH_ONLY_NO_BONUS
82;Johnson Space Center;Mission conditionnelle;Mission: Gagnez 2 Médias après avoir effectué l'action Mettre en orbite. Mission: Gagnez 2 Médias après avoir effectué une action Poser une sonde.;1 Donnée;Jaune;1 Energie;1 Crédit;;GAIN_ON_ORBIT:media:2 + GAIN_ON_LAND:media:2
83;Signal Wow!;Action;Gagnez 1 Média et 2 Signaux dans le secteur de la Terre.;1 Déplacement;Bleu;1 Energie;2 Crédits;1 Média + 2 Signaux Terre;
84;Retour d'Echantillons;Action;Retirez l'un de vos atterrisseurs de n'importe quelle planète ou lune pour marquer 1 Trace de Vie Jaune.;1 Média;Bleu;1 Energie;1 Crédit;;SAMPLE_RETURN
85;Lanceur Starship;Action;Gagnez 1 Sonde, 1 Rotation et 1 Technologie Exploration.;1 Média;Rouge;1 Crédit;4 Crédits;1 Sonde + 1 Rotation + 1 Tech Exploration;
86;Télescope Géant Magellan;Fin de jeu;Gagnez 1 Signal dans un secteur d'une carte de la rangée. Fin de jeu: Gagnez 1 PV pour chaque secteur où vous avez un signal.;1 Média;Rouge;1 Energie;1 Crédit;1 Signal Rangée;SCORE_PER_SIGNAL:any:1
87;Projet Longshot;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Exploration. Mission: Gagnez 3 PV et 1 Energie si vous avez une sonde à moins de 5 cases de la Terre.;1 Déplacement;Jaune;1 Pioche;3 Crédits;1 Rotation + 1 Tech Exploration;GAIN_IF_PROBE_IN_DEEP_SPACE:pv:3:energy:1
88;Observatoire Spatial Chandra;Mission déclenchable;Gagnez 2 Signaux dans un secteur où se trouve l'une de vos sondes. Mission: Gagnez 2 Médias si vous avez marqué un signal dans 4 secteurs différents.;1 Déplacement;Bleu;1 Energie;2 Crédits;2 Signaux Sonde;GAIN_IF_4_SIGNALS:media:2
89;Programme NIAC;Mission déclenchable;Gagnez 3 Pioche. Mission: Gagnez 1 Carte si vous n'avez aucune carte en main.;1 Média;Bleu;1 Crédit;2 Crédits;3 Pioche;GAIN_IF_EMPTY_HAND:anycard:1
90;Réservoirs d'Ergols;Action;Gagnez 1 Energie pour chaque carte avec un revenu Energie que vous révélez de votre main.;1 Donnée;Bleu;1 Pioche;1 Crédit;;GAIN_ENERGY_PER_ENERGY_REVENUE
90;Square Kilometre Array;Action;Gagnez 3 Signaux dans un secteur d'une carte de la rangée. Gagnez 2 PVs pour chaque secteur unique dans lequel vous marquez un signal.;1 Média;Bleu;1 Crédit;3 Crédits;3 Signaux Rangée;SCORE_IF_UNIQUE:2
91;Réacteur à Fusion;Action;Gagnez 1 Energie pour chaque carte Energie glissée sous vos revenus. Puis réservez cette carte.;1 Média;Rouge;1 Energie;3 Crédits;;GAIN_ENERGY_PER_REVENUE_ENERGY_AND_RESERVE
92;Photo du Jour de la NASA;Action;Gagnez 2 Médias. Gagnez 1 Média pour chaque carte Pioche glissée sous vos revenus. Puis réservez cette carte.;1 Donnée;Bleu;1 Pioche;3 Crédits;2 Médias;GAIN_MEDIA_PER_REVENUE_CARD_AND_RESERVE
93;Financement Public;Action;Gagnez 3 PV pour chaque carte Crédit glissée sous vos revenus. Puis réservez cette carte.;1 Média;Jaune;1 Crédit;3 Crédits;;GAIN_PV_PER_REVENUE_CREDIT_AND_RESERVE
94;Vulgarisation Scientifique;Mission conditionnelle;Gagnez 1 Média. Mission: Gagnez 2 Média après avoir acquis une Technologie Exploration. Mission: Gagnez 2 Média après avoir acquis une Technologie Observation. Mission: Gagnez 2 Média après avoir acquis une Technologie Informatique.;1 Donnée;Rouge;1 Crédit;2 Crédits;1 Média;GAIN_ON_TECH:yellow:media:2 + GAIN_ON_TECH:red:media:2 + GAIN_ON_TECH:blue:media:2
95;Etude des Astéroïdes Géocroiseurs;Mission déclenchable;Gagnez 2 Média. Mission: Gagnez 5 PV et 1 Carte si vous avez une sonde sur un champ d'astéroïdes adjacent à la Terre.;1 Donnée;Jaune;1 Energie;2 Crédits;2 Médias;GAIN_IF_PROBE_ON_ASTEROID:pv:5:anycard:1
96;Etude des Tardigrades;Mission déclenchable;Gagnez 1 Média, 1 Donnée et 1 Pioche. Mission: Gagnez 1 Trace de Vie Jaune si vous avez acquis 3 Traces de Vie Jaune.;1 Déplacement;Jaune;1 Energie;2 Crédits;1 Média + 1 Donnée + 1 Pioche;GAIN_IF_3_LIFETRACES:yellow:yellowlifetrace:1
97;Mission Apollo 11;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Exploration. Mission: Gagnez 2 PV et 1 Pioche si vous avez acquis 1 Trace de Vie Jaune sur chaque espèce.;1 Donnée;Bleu;1 Energie;3 Crédits;1 Rotation + 1 Tech Exploration;GAIN_IF_LIFETRACE_BOTH_SPECIES:yellow:pv:2:card:1
98;Spectrographe Coronal;Action;Marquez 1 Trace de Vie Rouge pour une espèce pour laquelle vous avez déjà marqué 1 Trace de Vie Rouge.;1 Donnée;Rouge;1 Energie;1 Crédit;;GAIN_LIFETRACE_IF_ALREADY:red:1
